"nomscientifiqueref" "nomvernaculaire" "cdnom" "espece" "genre" "famille" "especeevalueelr" "especereglementee" "dateobservation" "codeinseecommune" "annee"
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "false" "false" "2012-03-26" 88341 2012
"Phylloscopus collybita" "Pouillot véloce" 4280 "Phylloscopus collybita" "Phylloscopus" "Phylloscopidae" "false" "false" "2012-10-07" 57205 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-12-18" 68029 2012
"Emberiza citrinella" "Bruant jaune" 4657 "Emberiza citrinella" "Emberiza" "Emberizidae" "false" "false" "2012-12-05" 88073 2012
"Pica pica" "Pie bavarde" 4474 "Pica pica" "Pica" "Corvidae" "true" "false" "2012-04-21" 57591 2012
"Corvus corone" "Corneille noire" 4503 "Corvus corone" "Corvus" "Corvidae" "true" "false" "2012-12-24" 57630 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "false" "false" "2012-04-23" 57208 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "true" "false" "2012-03-29" 68066 2012
"Aegithalos caudatus" "Mésange à longue queue, Orite à longue queue" 4342 "Aegithalos caudatus" "Aegithalos" "Aegithalidae" "true" "false" "2012-04-03" 68056 2012
"Psittacula krameri" "Perruche à collier" 3448 "Psittacula krameri" "Psittacula" "Psittaculidae" "true" "false" "2012-12-06" 54578 2012
"Streptopelia decaocto" "Tourterelle turque" 3429 "Streptopelia decaocto" "Streptopelia" "Columbidae" "true" "false" "2012-12-19" 68029 2012
"Garrulus glandarius" "Geai des chênes" 4466 "Garrulus glandarius" "Garrulus" "Corvidae" "true" "false" "2012-08-19" 67324 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "true" "false" "2012-05-19" 88073 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "true" "false" "2012-07-01" 57553 2012
"Chloris chloris" "Verdier d'Europe" 4582 "Chloris chloris" "Chloris" "Fringillidae" "true" "false" "2012-09-15" 68301 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "false" "false" "2012-05-09" 88073 2012
"Streptopelia decaocto" "Tourterelle turque" 3429 "Streptopelia decaocto" "Streptopelia" "Columbidae" "false" "true" "2012-04-19" 68066 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "false" "false" "2012-05-06" 51662 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "false" "false" "2012-09-03" 55007 2012
"Carduelis carduelis" "Chardonneret élégant" 4583 "Carduelis carduelis" "Carduelis" "Fringillidae" "false" "false" "2012-04-07" 54257 2012
"Dendrocopos major" "Pic épeiche" 3611 "Dendrocopos major" "Dendrocopos" "Picidae" "true" "false" "2012-09-29" 55514 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "false" "false" "2012-12-16" 54159 2012
"Serinus serinus" "Serin cini" 4571 "Serinus serinus" "Serinus" "Fringillidae" "false" "false" "2012-06-15" 54159 2012
"Columba palumbus" "Pigeon ramier" 3424 "Columba palumbus" "Columba" "Columbidae" "false" "true" "2012-06-21" 55166 2012
"Phylloscopus collybita" "Pouillot véloce" 4280 "Phylloscopus collybita" "Phylloscopus" "Phylloscopidae" "false" "false" "2012-10-22" 67280 2012
"Sylvia atricapilla" "Fauvette à tête noire" 4257 "Sylvia atricapilla" "Sylvia" "Sylviidae" "false" "false" "2012-07-31" 68029 2012
"Carduelis carduelis" "Chardonneret élégant" 4583 "Carduelis carduelis" "Carduelis" "Fringillidae" "true" "false" "2012-07-01" 54159 2012
"Erithacus rubecula" "Rougegorge familier" 4001 "Erithacus rubecula" "Erithacus" "Muscicapidae" "true" "false" "2012-06-17" 52275 2012
"Picus viridis" "Pic vert, Pivert" 3603 "Picus viridis" "Picus" "Picidae" "false" "false" "2012-12-21" 68265 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "true" "false" "2012-05-18" 51530 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "false" "false" "2012-12-17" 51530 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "true" "false" "2012-11-20" 54159 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "true" "false" "2012-05-07" 68042 2012
"Hirundo rustica" "Hirondelle rustique, Hirondelle de cheminée" 3696 "Hirundo rustica" "Hirundo" "Hirundinidae" "false" "true" "2012-07-01" 8248 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-12-26" 55532 2012
"Poecile palustris" "Mésange nonnette" 534753 "Poecile palustris" "Poecile" "Paridae" "false" "false" "2012-04-12" 52265 2012
"Streptopelia decaocto" "Tourterelle turque" 3429 "Streptopelia decaocto" "Streptopelia" "Columbidae" "false" "true" "2012-06-03" 68029 2012
"Psittacula krameri" "Perruche à collier" 3448 "Psittacula krameri" "Psittacula" "Psittaculidae" "true" "false" "2012-05-14" 54578 2012
"Sturnus vulgaris" "Étourneau sansonnet" 4516 "Sturnus vulgaris" "Sturnus" "Sturnidae" "false" "true" "2012-10-05" 67382 2012
"Erithacus rubecula" "Rougegorge familier" 4001 "Erithacus rubecula" "Erithacus" "Muscicapidae" "false" "false" "2012-12-07" 54159 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "true" "false" "2012-11-28" 88120 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "false" "false" "2012-09-17" 51380 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "false" "false" "2012-12-29" 51530 2012
"Sitta europaea" "Sittelle torchepot" 3774 "Sitta europaea" "Sitta" "Sittidae" "true" "false" "2012-09-09" 10224 2012
"Chloris chloris" "Verdier d'Europe" 4582 "Chloris chloris" "Chloris" "Fringillidae" "false" "false" "2012-12-13" 51237 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "false" "false" "2012-12-14" 67382 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-04-29" 57205 2012
"Corvus corone" "Corneille noire" 4503 "Corvus corone" "Corvus" "Corvidae" "true" "false" "2012-04-03" 51662 2012
"Periparus ater" "Mésange noire" 534751 "Periparus ater" "Periparus" "Paridae" "false" "false" "2012-10-07" 52265 2012
"Columba palumbus" "Pigeon ramier" 3424 "Columba palumbus" "Columba" "Columbidae" "false" "true" "2012-04-03" 68056 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "false" "false" "2012-06-05" 67502 2012
"Passer montanus" "Moineau friquet" 4532 "Passer montanus" "Passer" "Passeridae" "false" "false" "2012-02-05" 57096 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "false" "false" "2012-05-12" 88120 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "false" "false" "2012-12-05" 8394 2012
"Columba palumbus" "Pigeon ramier" 3424 "Columba palumbus" "Columba" "Columbidae" "true" "false" "2012-05-18" 51662 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "false" "false" "2012-10-27" 88073 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-11-14" 8105 2012
"Pica pica" "Pie bavarde" 4474 "Pica pica" "Pica" "Corvidae" "true" "false" "2012-12-28" 55532 2012
"Motacilla alba" "Bergeronnette grise" 3941 "Motacilla alba" "Motacilla" "Motacillidae" "true" "false" "2012-05-08" 54076 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "true" "false" "2012-10-30" 52432 2012
"Motacilla alba" "Bergeronnette grise" 3941 "Motacilla alba" "Motacilla" "Motacillidae" "false" "false" "2012-07-28" 67280 2012
"Sitta europaea" "Sittelle torchepot" 3774 "Sitta europaea" "Sitta" "Sittidae" "true" "false" "2012-12-05" 8105 2012
"Pica pica" "Pie bavarde" 4474 "Pica pica" "Pica" "Corvidae" "true" "false" "2012-12-15" 67544 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "true" "false" "2012-07-31" 57630 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "true" "false" "2012-12-12" 51662 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "false" "false" "2012-04-01" 10224 2012
"Dendrocopos major" "Pic épeiche" 3611 "Dendrocopos major" "Dendrocopos" "Picidae" "false" "false" "2012-12-22" 67544 2012
"Sylvia atricapilla" "Fauvette à tête noire" 4257 "Sylvia atricapilla" "Sylvia" "Sylviidae" "false" "false" "2012-08-19" 51277 2012
"Streptopelia decaocto" "Tourterelle turque" 3429 "Streptopelia decaocto" "Streptopelia" "Columbidae" "true" "false" "2012-07-04" 52265 2012
"Hirundo rustica" "Hirondelle rustique, Hirondelle de cheminée" 3696 "Hirundo rustica" "Hirundo" "Hirundinidae" "false" "false" "2012-04-21" 68058 2012
"Streptopelia decaocto" "Tourterelle turque" 3429 "Streptopelia decaocto" "Streptopelia" "Columbidae" "true" "false" "2012-05-20" 67331 2012
"Erithacus rubecula" "Rougegorge familier" 4001 "Erithacus rubecula" "Erithacus" "Muscicapidae" "true" "false" "2012-05-25" 88081 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "true" "false" "2012-12-04" 67554 2012
"Picus viridis" "Pic vert, Pivert" 3603 "Picus viridis" "Picus" "Picidae" "true" "false" "2012-12-02" 10042 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "false" "false" "2012-12-02" 8394 2012
"Picus viridis" "Pic vert, Pivert" 3603 "Picus viridis" "Picus" "Picidae" "false" "false" "2012-08-13" 67502 2012
"Sturnus vulgaris" "Étourneau sansonnet" 4516 "Sturnus vulgaris" "Sturnus" "Sturnidae" "false" "true" "2012-04-03" 67331 2012
"Hirundo rustica" "Hirondelle rustique, Hirondelle de cheminée" 3696 "Hirundo rustica" "Hirundo" "Hirundinidae" "false" "true" "2012-08-13" 10104 2012
"Sylvia atricapilla" "Fauvette à tête noire" 4257 "Sylvia atricapilla" "Sylvia" "Sylviidae" "true" "false" "2012-05-30" 54578 2012
"Pica pica" "Pie bavarde" 4474 "Pica pica" "Pica" "Corvidae" "true" "false" "2012-05-13" 51530 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "true" "false" "2012-12-12" 67514 2012
"Erithacus rubecula" "Rougegorge familier" 4001 "Erithacus rubecula" "Erithacus" "Muscicapidae" "false" "false" "2012-12-11" 8394 2012
"Pica pica" "Pie bavarde" 4474 "Pica pica" "Pica" "Corvidae" "true" "false" "2012-04-28" 67388 2012
"Passer montanus" "Moineau friquet" 4532 "Passer montanus" "Passer" "Passeridae" "false" "false" "2012-05-07" 52275 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "false" "false" "2012-12-14" 51234 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "true" "false" "2012-08-22" 57205 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "true" "false" "2012-08-10" 88073 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-05-07" 68066 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "true" "false" "2012-12-17" 55166 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "true" "false" "2012-04-29" 54076 2012
"Phylloscopus collybita" "Pouillot véloce" 4280 "Phylloscopus collybita" "Phylloscopus" "Phylloscopidae" "true" "false" "2012-09-25" 88120 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "true" "false" "2012-12-05" 10042 2012
"Pyrrhula pyrrhula" "Bouvreuil pivoine" 4619 "Pyrrhula pyrrhula" "Pyrrhula" "Fringillidae" "true" "false" "2012-08-05" 57205 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-06-17" 88073 2012
"Sylvia atricapilla" "Fauvette à tête noire" 4257 "Sylvia atricapilla" "Sylvia" "Sylviidae" "true" "false" "2012-06-13" 67502 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "false" "false" "2012-04-29" 55166 2012
"Columba livia" "Pigeon biset" 3420 "Columba livia" "Columba" "Columbidae" "true" "false" "2012-04-25" 68029 2012
"Pica pica" "Pie bavarde" 4474 "Pica pica" "Pica" "Corvidae" "true" "false" "2012-10-17" 68029 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "true" "false" "2012-11-01" 67501 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "false" "true" "2012-04-21" 57591 2012
"Sturnus vulgaris" "Étourneau sansonnet" 4516 "Sturnus vulgaris" "Sturnus" "Sturnidae" "false" "true" "2012-11-09" 54159 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "true" "false" "2012-11-09" 88413 2012
"Hirundo rustica" "Hirondelle rustique, Hirondelle de cheminée" 3696 "Hirundo rustica" "Hirundo" "Hirundinidae" "false" "true" "2012-05-25" 68066 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "true" "false" "2012-12-20" 54159 2012
"Regulus regulus" "Roitelet huppé" 4308 "Regulus regulus" "Regulus" "Regulidae" "false" "false" "2012-08-31" 88081 2012
"Erithacus rubecula" "Rougegorge familier" 4001 "Erithacus rubecula" "Erithacus" "Muscicapidae" "false" "false" "2012-10-25" 88120 2012
"Sturnus vulgaris" "Étourneau sansonnet" 4516 "Sturnus vulgaris" "Sturnus" "Sturnidae" "true" "false" "2012-05-31" 57205 2012
"Pyrrhula pyrrhula" "Bouvreuil pivoine" 4619 "Pyrrhula pyrrhula" "Pyrrhula" "Fringillidae" "false" "false" "2012-12-27" 10359 2012
"Streptopelia decaocto" "Tourterelle turque" 3429 "Streptopelia decaocto" "Streptopelia" "Columbidae" "true" "false" "2012-07-21" 10122 2012
"Fringilla montifringilla" "Pinson du nord, Pinson des Ardennes" 4568 "Fringilla montifringilla" "Fringilla" "Fringillidae" "false" "false" "2012-11-26" 68218 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "true" "false" "2012-04-30" 88073 2012
"Picus viridis" "Pic vert, Pivert" 3603 "Picus viridis" "Picus" "Picidae" "false" "false" "2012-12-22" 8498 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "true" "false" "2012-05-28" 67021 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "false" "true" "2012-07-11" 52275 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "true" "false" "2012-11-11" 67309 2012
"Garrulus glandarius" "Geai des chênes" 4466 "Garrulus glandarius" "Garrulus" "Corvidae" "true" "false" "2012-04-17" 52432 2012
"Columba palumbus" "Pigeon ramier" 3424 "Columba palumbus" "Columba" "Columbidae" "false" "true" "2012-08-10" 67331 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "false" "false" "2012-11-11" 57205 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "false" "false" "2012-12-16" 57628 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "true" "false" "2012-09-24" 55532 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-10-30" 57433 2012
"Sylvia atricapilla" "Fauvette à tête noire" 4257 "Sylvia atricapilla" "Sylvia" "Sylviidae" "true" "false" "2012-08-18" 88081 2012
"Erithacus rubecula" "Rougegorge familier" 4001 "Erithacus rubecula" "Erithacus" "Muscicapidae" "false" "false" "2012-12-01" 55166 2012
"Prunella modularis" "Accenteur mouchet" 3978 "Prunella modularis" "Prunella" "Prunellidae" "true" "false" "2012-04-10" 52265 2012
"Carduelis carduelis" "Chardonneret élégant" 4583 "Carduelis carduelis" "Carduelis" "Fringillidae" "true" "false" "2012-06-10" 55166 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-12-01" 57096 2012
"Garrulus glandarius" "Geai des chênes" 4466 "Garrulus glandarius" "Garrulus" "Corvidae" "true" "false" "2012-08-31" 88081 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "true" "false" "2012-04-06" 8394 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-07-03" 54528 2012
"Erithacus rubecula" "Rougegorge familier" 4001 "Erithacus rubecula" "Erithacus" "Muscicapidae" "false" "false" "2012-12-11" 55166 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "true" "false" "2012-10-21" 51413 2012
"Periparus ater" "Mésange noire" 534751 "Periparus ater" "Periparus" "Paridae" "false" "false" "2012-04-12" 52265 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "true" "false" "2012-12-09" 54578 2012
"Carduelis carduelis" "Chardonneret élégant" 4583 "Carduelis carduelis" "Carduelis" "Fringillidae" "false" "false" "2012-04-05" 8403 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "false" "false" "2012-12-17" 55434 2012
"Sitta europaea" "Sittelle torchepot" 3774 "Sitta europaea" "Sitta" "Sittidae" "true" "false" "2012-11-07" 88009 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "false" "false" "2012-11-29" 88120 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "true" "false" "2012-10-07" 67280 2012
"Chloris chloris" "Verdier d'Europe" 4582 "Chloris chloris" "Chloris" "Fringillidae" "true" "false" "2012-06-05" 68029 2012
"Pica pica" "Pie bavarde" 4474 "Pica pica" "Pica" "Corvidae" "true" "false" "2012-04-26" 68066 2012
"Sturnus vulgaris" "Étourneau sansonnet" 4516 "Sturnus vulgaris" "Sturnus" "Sturnidae" "true" "false" "2012-12-10" 68299 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "true" "false" "2012-11-07" 54159 2012
"Prunella modularis" "Accenteur mouchet" 3978 "Prunella modularis" "Prunella" "Prunellidae" "false" "false" "2012-12-29" 55532 2012
"Sturnus vulgaris" "Étourneau sansonnet" 4516 "Sturnus vulgaris" "Sturnus" "Sturnidae" "false" "true" "2012-05-10" 10402 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "true" "false" "2012-04-11" 8059 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-10-11" 68278 2012
"Carduelis carduelis" "Chardonneret élégant" 4583 "Carduelis carduelis" "Carduelis" "Fringillidae" "false" "false" "2012-10-27" 57460 2012
"Turdus viscivorus" "Grive draine" 4142 "Turdus viscivorus" "Turdus" "Turdidae" "false" "true" "2012-11-18" 10224 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "true" "false" "2012-07-11" 55166 2012
"Corvus corone" "Corneille noire" 4503 "Corvus corone" "Corvus" "Corvidae" "true" "false" "2012-06-17" 52275 2012
"Carduelis carduelis" "Chardonneret élégant" 4583 "Carduelis carduelis" "Carduelis" "Fringillidae" "false" "false" "2012-06-21" 10314 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "false" "true" "2012-10-07" 57043 2012
"Picus viridis" "Pic vert, Pivert" 3603 "Picus viridis" "Picus" "Picidae" "false" "false" "2012-05-27" 52265 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "false" "false" "2012-09-28" 51662 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "true" "false" "2012-12-10" 55532 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "false" "true" "2012-06-11" 54511 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-10-24" 67068 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "false" "false" "2012-03-27" 67544 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "true" "false" "2012-06-08" 54528 2012
"Streptopelia decaocto" "Tourterelle turque" 3429 "Streptopelia decaocto" "Streptopelia" "Columbidae" "true" "false" "2012-05-08" 68066 2012
"Poecile palustris" "Mésange nonnette" 534753 "Poecile palustris" "Poecile" "Paridae" "false" "false" "2012-12-28" 8126 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "true" "false" "2012-08-31" 55532 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "true" "false" "2012-10-10" 88073 2012
"Prunella modularis" "Accenteur mouchet" 3978 "Prunella modularis" "Prunella" "Prunellidae" "false" "false" "2012-04-22" 10224 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "false" "false" "2012-12-10" 54578 2012
"Sylvia atricapilla" "Fauvette à tête noire" 4257 "Sylvia atricapilla" "Sylvia" "Sylviidae" "true" "false" "2012-04-17" 54257 2012
"Erithacus rubecula" "Rougegorge familier" 4001 "Erithacus rubecula" "Erithacus" "Muscicapidae" "false" "false" "2012-12-10" 68029 2012
"Troglodytes troglodytes" "Troglodyte mignon" 3967 "Troglodytes troglodytes" "Troglodytes" "Troglodytidae" "false" "false" "2012-04-29" 51277 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "true" "false" "2012-04-10" 52265 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-12-03" 52265 2012
"Hirundo rustica" "Hirondelle rustique, Hirondelle de cheminée" 3696 "Hirundo rustica" "Hirundo" "Hirundinidae" "false" "true" "2012-04-12" 52275 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "true" "false" "2012-04-22" 68042 2012
"Pica pica" "Pie bavarde" 4474 "Pica pica" "Pica" "Corvidae" "true" "false" "2012-04-27" 67331 2012
"Poecile palustris" "Mésange nonnette" 534753 "Poecile palustris" "Poecile" "Paridae" "true" "false" "2012-10-13" 10297 2012
"Accipiter nisus" "Épervier d'Europe" 2895 "Accipiter nisus" "Accipiter" "Accipitridae" "false" "false" "2012-04-08" 51277 2012
"Garrulus glandarius" "Geai des chênes" 4466 "Garrulus glandarius" "Garrulus" "Corvidae" "true" "false" "2012-12-16" 55551 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "false" "false" "2012-04-14" 57096 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "false" "false" "2012-04-24" 57745 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "false" "true" "2012-08-17" 8059 2012
"Carduelis carduelis" "Chardonneret élégant" 4583 "Carduelis carduelis" "Carduelis" "Fringillidae" "false" "false" "2012-07-11" 51662 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-04-07" 67502 2012
"Chloris chloris" "Verdier d'Europe" 4582 "Chloris chloris" "Chloris" "Fringillidae" "false" "false" "2012-04-23" 68256 2012
"Erithacus rubecula" "Rougegorge familier" 4001 "Erithacus rubecula" "Erithacus" "Muscicapidae" "false" "false" "2012-10-21" 52121 2012
"Serinus serinus" "Serin cini" 4571 "Serinus serinus" "Serinus" "Fringillidae" "false" "false" "2012-12-26" 68029 2012
"Prunella modularis" "Accenteur mouchet" 3978 "Prunella modularis" "Prunella" "Prunellidae" "false" "false" "2012-11-30" 54159 2012
"Phoenicurus ochruros" "Rougequeue noir" 4035 "Phoenicurus ochruros" "Phoenicurus" "Muscicapidae" "true" "false" "2012-05-02" 55166 2012
"Picus viridis" "Pic vert, Pivert" 3603 "Picus viridis" "Picus" "Picidae" "true" "false" "2012-08-14" 68029 2012
"Streptopelia decaocto" "Tourterelle turque" 3429 "Streptopelia decaocto" "Streptopelia" "Columbidae" "false" "true" "2012-08-12" 68029 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "false" "true" "2012-12-10" 51234 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "false" "true" "2012-12-02" 51262 2012
"Poecile palustris" "Mésange nonnette" 534753 "Poecile palustris" "Poecile" "Paridae" "false" "false" "2012-04-22" 52265 2012
"Carduelis carduelis" "Chardonneret élégant" 4583 "Carduelis carduelis" "Carduelis" "Fringillidae" "true" "false" "2012-12-09" 55166 2012
"Dendrocopos major" "Pic épeiche" 3611 "Dendrocopos major" "Dendrocopos" "Picidae" "true" "false" "2012-12-01" 51530 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "false" "false" "2012-11-24" 57205 2012
"Garrulus glandarius" "Geai des chênes" 4466 "Garrulus glandarius" "Garrulus" "Corvidae" "true" "false" "2012-11-17" 88120 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "false" "false" "2012-03-31" 54257 2012
"Turdus merula" "Merle noir" 4117 "Turdus merula" "Turdus" "Turdidae" "false" "true" "2012-04-22" 55364 2012
"Fringilla coelebs" "Pinson des arbres" 4564 "Fringilla coelebs" "Fringilla" "Fringillidae" "true" "false" "2012-11-19" 55166 2012
"Parus major" "Mésange charbonnière" 3764 "Parus major" "Parus" "Paridae" "true" "false" "2012-05-21" 68042 2012
"Cyanistes caeruleus" "Mésange bleue" 534742 "Cyanistes caeruleus" "Cyanistes" "Paridae" "false" "false" "2012-11-30" 88120 2012
"Passer domesticus" "Moineau domestique" 4525 "Passer domesticus" "Passer" "Passeridae" "true" "false" "2012-05-28" 67544 2012
